ID,LONGITUDE,LATITUDE,Point_Size
1,100.5019608,13.60863928,5
2,100.5444096,13.69749042,5
3,100.5105205,13.73169916,5
4,100.4974125,13.76303053,5
5,100.5540008,13.77134294,5
6,100.5610344,13.79564074,5
7,100.5482461,13.81578233,5
8,100.3525848,13.72210792,5
